bet-id,status,event-id,event-name,market-id,market-name,runner-id,runner-name,sport-id,sport-name,odds,stake,profit,time-placed,reports-currentscores

5843,"finished",26133,"Tampa Bay at Detroit",321950,"moneyline",660004,"Detroit",3,"Baseball",-125,78.46,62.77,"03/04/2015 14:45",
5841,"finished",26133,"Tampa Bay at Detroit",321950,"moneyline",660003,"Tampa Bay",3,"Baseball",103,200,206,"03/04/2015 14:45",
7037,"finished",27853,"Cleveland Cavaliers at Atlanta Hawks",334634,"Handicap (1.5)",684816,"Cleveland Cavaliers (+1.50)",4,"Basketball",-105,5,4.8,"19/05/2015 12:35",
5791,"finished",26093,"Miami Heat at Cleveland Cavaliers",321781,"Handicap",659665,"Cleveland Cavaliers (-11.50)",4,"Basketball",-109,30,27.52,"02/04/2015 16:40",
5796,"finished",26093,"Miami Heat at Cleveland Cavaliers",321819,"Handicap",659740,"Miami Heat (+9.50)",4,"Basketball",105,50,52.5,"02/04/2015 16:41",
5804,"finished",26093,"Miami Heat at Cleveland Cavaliers",321696,"moneyline",659497,"Cleveland Cavaliers",4,"Basketball",-664,50,7.53,"02/04/2015 16:42",
5800,"finished",26093,"Miami Heat at Cleveland Cavaliers",321820,"Total",659742,"OVER (+196.50)",4,"Basketball",102,16,16.32,"02/04/2015 16:41",
5798,"finished",26093,"Miami Heat at Cleveland Cavaliers",321820,"Total",659743,"UNDER (+196.50)",4,"Basketball",-112,20,17.86,"02/04/2015 16:41",
6965,"finished",27711,"AJ Auxerre vs Créteil",334187,"Handicap (-0.25)",683909,"Creteil (+0.25)",15,"Soccer",-103,10,9.8,"15/05/2015 16:47",
6990,"finished",27900,"Albirex Niigata FC vs Warriors FC",334715,"Handicap (-0.25)",684977,"Albirex Niigata Singapore (-0.25)",15,"Soccer",101,10.92,11.03,"18/05/2015 13:45","0 - 2",
6968,"finished",27900,"Albirex Niigata FC vs Warriors FC",334715,"Handicap (-0.25)",684977,"Albirex Niigata Singapore (-0.25)",15,"Soccer",100,11,11,"18/05/2015 13:41","0 - 1",
6999,"finished",27900,"Albirex Niigata FC vs Warriors FC",334711,"Total Goals (2.75)",684966,"OVER (+2.75)",15,"Soccer",-145,11,7.63,"18/05/2015 13:52","0 - 2",
6342,"finished",26624,"AS Monaco vs Juventus",326238,"Handicap (0.25)",668591,"Juventus (-0.25)",15,"Soccer",100,10,10,"22/04/2015 16:47",
6339,"finished",26624,"AS Monaco vs Juventus",326238,"Handicap (0.25)",668590,"Monaco (+0.25)",15,"Soccer",-106,1,0.94,"22/04/2015 15:59",
6338,"finished",26624,"AS Monaco vs Juventus",326238,"Handicap (0.25)",668590,"Monaco (+0.25)",15,"Soccer",-106,1,0.94,"22/04/2015 15:58",
6337,"finished",26624,"AS Monaco vs Juventus",326238,"Handicap (0.25)",668590,"Monaco (+0.25)",15,"Soccer",-106,1,0.94,"22/04/2015 15:57",
6336,"finished",26624,"AS Monaco vs Juventus",326238,"Handicap (0.25)",668590,"Monaco (+0.25)",15,"Soccer",-106,1,0.94,"22/04/2015 15:56",
6335,"finished",26624,"AS Monaco vs Juventus",326238,"Handicap (0.25)",668590,"Monaco (+0.25)",15,"Soccer",-106,1,0.94,"22/04/2015 15:55",
6322,"finished",26624,"AS Monaco vs Juventus",326238,"Handicap (0.25)",668590,"Monaco (+0.25)",15,"Soccer",-104,1,0.96,"22/04/2015 14:08",
6321,"finished",26624,"AS Monaco vs Juventus",326238,"Handicap (0.25)",668590,"Monaco (+0.25)",15,"Soccer",-104,1,0.96,"22/04/2015 12:59",
6320,"finished",26624,"AS Monaco vs Juventus",326238,"Handicap (0.25)",668590,"Monaco (+0.25)",15,"Soccer",-104,1,0.96,"22/04/2015 12:59",
6319,"finished",26624,"AS Monaco vs Juventus",326238,"Handicap (0.25)",668590,"Monaco (+0.25)",15,"Soccer",-104,1,0.96,"22/04/2015 12:59",
